= 未分组 =

江西移动,#genre#
CCTV15[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225641/index.m3u8
CETV[1024*576],http://39.134.115.221:8080/PLTV/88888910/224/3221225661/index.m3u8
CGTN[1024*576],http://39.134.115.221:8080/PLTV/88888910/224/3221225747/index.m3u8
CGTN记录[1024*576],http://39.134.115.221:8080/PLTV/88888910/224/3221225645/index.m3u8
CNC[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225693/index.m3u8
CNC2[1280*720],http://39.134.115.221:8080/PLTV/88888910/224/3221225694/index.m3u8
安徽卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225691/index.m3u8
安徽卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225737/index.m3u8
北京卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225673/index.m3u8
北京卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225674/index.m3u8
东方卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225658/index.m3u8
东方卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225659/index.m3u8
东南卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225657/index.m3u8
甘肃卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225724/index.m3u8
广东卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225701/index.m3u8
广东卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225742/index.m3u8
广西卫视[768*576],http://39.134.115.221:8080/PLTV/88888910/224/3221225731/index.m3u8
贵州卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225728/index.m3u8
海南卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225722/index.m3u8
河北卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225732/index.m3u8
黑龙江卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225690/index.m3u8
黑龙江卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225736/index.m3u8
湖北卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225699/index.m3u8
湖北卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225740/index.m3u8
湖南卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225704/index.m3u8
湖南卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225745/index.m3u8
吉林卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/3221225680/index.m3u8
江苏卫视[1920*1080],http://39.134.115.221:8080/PLTV/88888910/224/32212257
